# Per-company directory built 2026-06-10. 114 distinct companies. 47 potential dup pairs flagged below.
# OPERATOR REVIEW: edit canonical_name/url/domain/business_type as needed. Mark dup pairs by setting same canonical_name for both rows.

raw_name,canonical_name,canonical_url,canonical_domain,business_type,confidence,reasoning
BHC,BHC,https://ibhc.com,ibhc.com,ae_firm,high,"BHC is a Kansas-based A&E firm (founded by Kevin Honomichl, Bill Brundgardt, and Matt Brungardt) with a strong telecom/OSP engineering practice. Designs fiber routes/networks for utilities and telecom carriers. Recently acquired by Pape-Dawson (2026), but BHC brand continues. The ""Lead OSP Engineeri"
BHC - Engineering,BHC,https://ibhc.com,ibhc.com,ae_firm,high,"BHC is a civil engineering and surveying firm founded 1992, headquartered in Overland Park, KS (matches sample state). Business Development title aligns with A&E firm sales role. They have a strong fiber/telecom practice (designed 30+ fiber huts for Google Fiber in KC Metro, 100+ across the US) whic"
BHC Engineering,BHC,https://ibhc.com,ibhc.com,ae_firm,high,"BHC is a civil engineering and surveying firm based in Overland Park, KS (matches sample state KS). Founded 1992, services include telecom/fiber design, including 100+ fiber hut sites nationwide. Acquired by Pape-Dawson in March 2026 as its Midwest Region core, but BHC brand persists at ibhc.com. Pr"
Blue Diamond,Blue Diamond Industries,https://www.bdiky.com,bdiky.com,unknown,high,"Blue Diamond Industries is a Kentucky-headquartered HDPE conduit/innerduct manufacturer (Lexington/Middlesboro KY), a Hexatronic subsidiary supplying the fiber industry. The KY state + Director of National Sales title align with a manufacturer's commercial role. They are a vendor/supplier exhibitor "
Blue Jay Communications,Blue Jay Communications,https://bluejaycommunications.com,bluejaycommunications.com,ae_firm,medium,"Ohio-based (Brooklyn/Cleveland) telecom infrastructure contractor founded 2001, recently acquired by STG Family of Companies. Primary business is fiber/telecom construction (underground, aerial, FTTH, splicing) with secondary engineering/design services (surveys, CAD drafting, permitting). Not a fib"
Blue Ridge Communications,Blue Ridge Communications,https://www.brctv.com,brctv.com,fiber_operator,high,"Blue Ridge Communications is a well-known Pennsylvania-based cable/broadband operator headquartered in Palmerton, PA, serving eastern/northeastern PA. They offer cable TV, internet (including fiber-to-the-home expansion), and phone service. The PA state match and headend technician title (classic ca"
Blue Ridge Mountain EMC,Blue Ridge Mountain EMC,https://www.brmemc.com,brmemc.com,electric_coop_fiber,high,"Blue Ridge Mountain EMC (BRMEMC) is an electric membership cooperative headquartered in Young Harris, GA, serving north Georgia and parts of NC/TN. They have an established fiber broadband program (BRMEMC Fiber/Internet) — confirmed by attendee titles ""Director of Broadband"" and ""Broadband Technical"
Blue Streak LLC,Blue Streak,https://www.bluestreakllc.com,bluestreakllc.com,unknown,medium,"Blue Streak LLC (bluestreakllc.com), HQ Miami FL, is a telecom/fiber utility CONSTRUCTION CONTRACTOR — aerial & underground network construction, maintenance, restoration, turnkey services for major telecoms (AT&T, Lumen, Frontier, Brightspeed). FL HQ matches sample state. Commercial titles (VP Sale"
Blue Stream Fiber,Blue Stream Fiber,https://bluestreamfiber.com,bluestreamfiber.com,fiber_operator,high,"Blue Stream Fiber is a well-known Florida-based fiber ISP serving residential and MDU/HOA communities across South Florida (Coral Springs HQ). ""Fiber"" in name, FL state match, and marketing/strategy titles consistent with an operator. Clearly a fiber_operator, not an A&E firm or coop."
Bonfire,Bonfire Infrastructure Group,https://bonfireig.com,bonfireig.com,fiber_operator,medium,"CO-based attendee with ""Director of Strategy and Planning"" title points to Bonfire Infrastructure Group (bonfireig.com), a Colorado-headquartered broadband company that plans, builds, launches, and operates fiber networks for municipalities, Tribal nations, and private operators (e.g., Los Alamos At"
Bonfire Fiber,Bonfire Fiber,https://bonfirefiber.com,bonfirefiber.com,fiber_operator,high,"Bonfire Fiber is a Colorado-based fiber ISP delivering FTTH broadband, headquartered in Steamboat Springs. Name includes ""Fiber"" and BD titles align with an operator selling broadband service. Colorado state sample confirms."
Boston Omaha Broadband,Boston Omaha Broadband,https://bostonomaha.com/broadband,bostonomaha.com,fiber_operator,high,"Boston Omaha Corporation (NYSE: BOC) operates a broadband division that acquired and runs fiber ISPs including AireBeam (Arizona), Utah Broadband, FibAire, and InfoWest, serving residential and business fiber broadband across multiple western states. CTO + VP Government Affairs attending Fiber Conne"
Buckeye Broadband,Buckeye Broadband,https://buckeyebroadband.com,buckeyebroadband.com,fiber_operator,high,"Buckeye Broadband is a well-known Ohio-based telecom/ISP headquartered in Toledo, OH (subsidiary of Block Communications). They provide fiber internet, TV, and phone services across northwest Ohio and southeast Michigan. Ohio location of attendees matches HQ. CFO and CTO titles attending Fiber Conne"
"CCI Systems, Inc.",CCI Systems,https://ccisystems.com,ccisystems.com,ae_firm,high,"CCI Systems is a Michigan-based (Iron Mountain, MI — matches sample state) broadband infrastructure services and engineering firm. They provide network design/engineering, construction, materials distribution, and managed services to fiber/broadband operators (ISPs, cooperatives, municipalities). Th"
"Cedar Hill Consulting, LLC",Cedar Hill Consulting,https://www.cedarhill-consulting.com,cedarhill-consulting.com,ae_firm,low,"Cedar Hill Consulting LLC is registered in East Greenwich, RI (matches the RI state in cohort). Public sources describe it as a small general management/business consulting firm founded ~2017 — not an ISP, electric coop, or tower engineering firm. The Founder attending Fiber Connect 2026 most plausi"
Choptank Fiber,Choptank Fiber,https://choptankfiber.com,choptankfiber.com,electric_coop_fiber,high,"Choptank Fiber is the broadband subsidiary of Choptank Electric Cooperative, serving Maryland's Eastern Shore (MD matches sample state). The cooperative launched the fiber initiative to bring high-speed internet to rural cooperative members. Titles like ""Sr. Fiber Administrator"" confirm active fiber"
Citizens Fiber,Citizens Fiber,https://citizensfiber.com,citizensfiber.com,fiber_operator,high,"Citizens Fiber is a Westmoreland County PA fiber ISP (100% fiber network, GPON to homes/businesses in Latrobe, Greensburg, Mt. Pleasant area). Recently acquired by Omni Fiber in June 2026, but Citizens Fiber brand still operates at citizensfiber.com — using current standalone brand since acquisition"
Colliers Engineering & Design,Colliers Engineering & Design,https://colliersengineering.com,colliersengineering.com,ae_firm,high,"Colliers Engineering & Design (formerly Maser Consulting, rebranded after Colliers acquisition in 2021) is a multidisciplinary A&E firm headquartered in NJ providing engineering, surveying, and design services including telecom/broadband infrastructure design. The NJ sample state aligns with their H"
Communication Network Engineering,Communication Network Engineering,https://cnefargo.com,cnefargo.com,ae_firm,high,"Communication Network Engineering (CNE) is a 100% employee-owned broadband engineering firm headquartered in Fargo, ND with Minnesota location. ND sample state matches HQ. They provide OSP/COE engineering, planning, mapping, permitting — classic A&E services to telecom/broadband clients (not selling"
Cumberland Connect,Cumberland Connect,https://cumberlandconnect.org,cumberlandconnect.org,electric_coop_fiber,high,"Cumberland Connect is the broadband subsidiary of CEMC (Cumberland Electric Membership Corporation), a TN electric cooperative. They provide fiber internet to CEMC members across Cheatham, Montgomery, Robertson, Stewart, and Sumner counties (matches TN state). 30,000+ subscribers, 100% fiber. Classi"
CVEC Fiber,CVEC Fiber,https://www.cvecfiber.com,cvecfiber.com,electric_coop_fiber,high,"CVEC Fiber, LLC is a wholly owned subsidiary of Canadian Valley Electric Cooperative (Oklahoma), providing FTTH broadband to ~18,000 rural Oklahoma homes/businesses across ~4,100 miles. State sample (OK) matches. Classic electric_coop_fiber pattern — electric coop running a fiber broadband subsidiar"
Dakota Carrier Network (DCN),Dakota Carrier Network,https://www.dakotacarrier.com,dakotacarrier.com,fiber_operator,high,Dakota Carrier Network (DCN) is a well-known North Dakota-based fiber network owned by a consortium of rural ILECs/telcos providing statewide fiber transport and broadband services. ND location and CEO attendee at Fiber Connect confirm fiber operator classification.
Danella Communication Services,Danella Companies,https://danella.com,danella.com,ae_firm,high,"Danella is a PA-based utility construction firm (1,500+ employees) providing outside plant fiber optic network design, permitting, and construction services to ISPs, municipalities, and agencies — NOT an ISP themselves. Their Communications division builds aerial and underground fiber (middle mile, "
Direct Communications,Direct Communications,https://directcom.com,directcom.com,fiber_operator,high,"Direct Communications is a rural fiber/broadband ISP headquartered in Rockland, Idaho (matches ID state sample). They are a known fiber-to-the-home provider serving rural Idaho, Utah, and surrounding areas. Attendance at Fiber Connect with President and VP-level executives confirms fiber_operator cl"
Direct Services Group,Direct Services Group,https://www.directservicesgroup.com,directservicesgroup.com,unknown,medium,"DSG (Gastonia, NC) is a multi-division telecom/energy services contractor with Direct Fiber, Direct Power, Direct Solar, and Direct Tower business units. They are a construction/services contractor — not a fiber operator (don't sell broadband), not an A&E design firm, and not tower-primary engineeri"
Dobson fiber,Dobson Fiber,https://dobson.net,dobson.net,fiber_operator,high,"Dobson Fiber is a well-known Oklahoma-based fiber ISP (originally Dobson Technologies, rebranded to Dobson Fiber as the consumer/business fiber brand). Headquartered in Oklahoma City, they provide fiber broadband to businesses and residential customers across OK and expanding into TX. CRO title and "
Dragonfly Internet,Dragonfly Internet,https://dragonfly.net,dragonfly.net,fiber_operator,high,"Dragonfly Internet is a Southwest Alabama ISP (Monroeville, Atmore, Brewton) created in 2023 when ITC Holding Company rebranded an acquired fixed wireless provider. Transitioning from FWA to fiber with Alabama Power partnership, offering up to 10 Gbps. Attendee state (AL) and titles (Chief Strategy "
"Edge Broadband, LLC.",eDGe Broadband Solutions,https://www.edge-bbs.com,edge-bbs.com,unknown,medium,"NC sample state matches eDGe Broadband Solutions, LLC (HQ Asheville/Waynesville NC) — a broadband equipment supplier/refurbisher serving the fiber industry (new + refurbished line gear, fiber optic cables, pole hardware, recycling). BD title fits an equipment vendor at a fiber-industry conference. N"
Empower Broadband,Empower Broadband,https://www.empowermec.net,empowermec.net,electric_coop_fiber,high,"Empower Broadband Inc. is a wholly-owned broadband subsidiary of Mecklenburg Electric Cooperative (MEC), based in Chase City, VA. Provides FTTP fiber internet to ~23,000 homes/businesses across 9 counties in Southside Virginia and northern NC. Domain confirms tight coupling with parent coop (empower"
"Empower Broadband, Inc",Empower Broadband,https://empowerbroadband.com,empowerbroadband.com,fiber_operator,high,"Empower Broadband is a Virginia-based fiber ISP (subsidiary of Mecklenburg Electric Cooperative) delivering fiber-to-the-home across southern Virginia and northern North Carolina. VA location and titles (VP Marketing, CTO) consistent with a fiber operator. While parented by an electric coop, the bra"
Endeavor Business Media,Endeavor Business Media,https://www.endeavorbusinessmedia.com,endeavorbusinessmedia.com,unknown,high,"Endeavor Business Media is a B2B media/publishing company headquartered in Nashville, TN. They publish Lightwave (fiber optic industry trade publication), which explains the ""Editor in chief, Lightwave"" title and presence at Fiber Connect. They are a media/publisher, NOT a fiber operator, A&E firm, "
EPB,EPB,https://epb.com,epb.com,fiber_operator,high,"EPB = Electric Power Board of Chattanooga, TN. Municipal utility operating a pioneering fiber network (first US gigabit 2010, now 25 Gig). Telecom/fiber division is a significant part of business — classified as fiber_operator (not electric_coop_fiber since it's a municipal utility, not a coop, and "
EPB Broadband Solutions,EPB,https://epb.com,epb.com,fiber_operator,high,"EPB (Electric Power Board of Chattanooga) is a municipal utility in Chattanooga, TN that runs one of the most famous community fiber networks in the US (gig/10-gig service). ""EPB Broadband Solutions"" is their wholesale/partner-facing fiber arm — confirmed by titles (Wholesale Account Manager, Broadb"
Farmers Telecommunications Cooperative,Farmers Telecommunications Cooperative,https://www.farmerstel.com,farmerstel.com,fiber_operator,high,"FTC is a telecommunications cooperative (not an electric coop) based in Rainsville, Alabama, serving northeast Alabama with fiber broadband, voice, and video. Attendee titles ""Senior Outside Plant Tech"" and ""Network Eng & Op Tech"" confirm fiber/telecom OSP operations. AL state aligns with their serv"
Fidium,Fidium Fiber,https://fidiumfiber.com,fidiumfiber.com,fiber_operator,high,Fidium Fiber is the consumer fiber broadband brand of Consolidated Communications (acquired by Searchlight Capital/BCI 2026). Operates fiber-to-the-home across the Northeast and parts of the Mid-Atlantic/South. VP Brand & Marketing and SVP titles at a fiber conference confirm fiber operator. Use cur
Fidium Fiber,Fidium Fiber,https://fidiumfiber.com,fidiumfiber.com,fiber_operator,high,"Fidium Fiber is the consumer fiber broadband brand of Consolidated Communications (acquired/taken private 2026). Operates fiber-to-the-home across Northern New England (ME, NH, VT) and Midwest markets including IL. Sample states (IL, ME) align with their footprint. BD/Market Development titles at a "
Finley Engineering,Finley Engineering,https://finleyusa.com,finleyusa.com,ae_firm,high,"Finley Engineering Company, Inc. is a 70+ year multi-disciplined engineering and consulting firm headquartered in Lamar, MO (matches sample state). Serves broadband, telecom, fiber optics, electric power, and gas pipeline industries — providing engineering/consulting services to ISPs, cooperatives, "
Firefly Va,Firefly Fiber Broadband,https://fireflyfiber.com,fireflyfiber.com,electric_coop_fiber,high,"Firefly Fiber Broadband is the fiber broadband subsidiary of Central Virginia Electric Cooperative (CVEC), headquartered in Virginia. State sample (VA) and the ""Va"" suffix in raw_name confirm Virginia-based. Firefly is a well-known electric coop fiber operator that expanded broadband statewide via p"
Focus Investment Banking,FOCUS Investment Banking,https://focusbankers.com,focusbankers.com,unknown,high,"FOCUS Investment Banking is a middle-market investment bank headquartered in the DC/VA area with a dedicated Communications & Digital Infrastructure practice (M&A advisory for fiber/broadband operators). They attend Fiber Connect as advisors/dealmakers, not as a fiber operator or A&E firm. None of t"
Frontier Communications,Frontier Communications,https://frontier.com,frontier.com,fiber_operator,high,"Frontier Communications is a major US ILEC/CLEC that has pivoted aggressively to fiber broadband (Frontier Fiber), targeting 10M fiber passings. Headquartered in Dallas, publicly traded (NASDAQ: FYBR), with active fiber buildouts in CT, MN, and other legacy territories. Business development and oper"
Gateway Fiber,Gateway Fiber,https://gatewayfiber.com,gatewayfiber.com,fiber_operator,high,"Gateway Fiber is a well-known Missouri-based FTTH ISP headquartered in the St. Louis area, providing residential and business fiber broadband across MO and expanding into other states. ""Fiber"" in the name plus MO state plus Director-level operational titles (Enterprise Systems, Supply Chain) align w"
GFiber,Google Fiber,https://fiber.google.com,fiber.google.com,fiber_operator,high,"""GFiber"" is the common shorthand and current brand identity for Google Fiber, Alphabet's residential/SMB fiber ISP operating in 20+ metros across the US (NC, TX, CA among them). Titles like ""Head of OSP Strategy & Systems"" and ""SW Head of Program Management"" align with Google Fiber's internal org st"
Glass Lab Fiber Optics,Glass Lab Fiber Optics,https://www.glasslabfiberoptics.com,glasslabfiberoptics.com,fiber_operator,medium,"Glass Lab Fiber Optics LLC is a Maine-based (Augusta, ME) fiber optic installation and maintenance contractor. Website confirms they do installation/maintenance work and reference Fidium Fiber as a current project, indicating they are a fiber-build contractor in the broadband value chain. Not an A&E"
Glass Utility Engineering,Glass Utility Engineering,https://glassue.com,glassue.com,ae_firm,high,"Glass Utility Engineering (glassue.com) is an engineering consulting firm founded in 2019 that designs utility infrastructure for network operators. They specialize in utility design, permit acquisition, constructability analysis, and record management — explicitly serving fiber/broadband network op"
Go-Broadband,Go-Broadband,https://www.go-broadband.net,go-broadband.net,ae_firm,high,"Go-Broadband, LLC (go-broadband.net) is a broadband engineering/consulting firm based in Vestavia, Alabama, founded by Lee Comer Jr. Services include network design, Make Ready Engineering, traffic control plans, permitting, and broadband master planning for cities, telcos, ISPs, and construction co"
Google-Gfiber,Google Fiber,https://fiber.google.com,fiber.google.com,fiber_operator,high,"Google Fiber (often stylized GFiber) is Google's residential/SMB fiber ISP, a well-known fiber_operator. UT presence aligns with Provo/Salt Lake City markets. Title ""General Manager, West Region"" fits their regional GM structure. Canonical brand-facing site is fiber.google.com."
"Great Lakes Enclosures, a Vertiv company",Great Lakes Enclosures (Vertiv),https://www.vertiv.com,vertiv.com,unknown,high,"Great Lakes Enclosures is a manufacturer of outdoor cabinets/enclosures (acquired by Vertiv, a global critical-infrastructure/data-center power & thermal vendor). They sell hardware (enclosures, power, cooling) into fiber/telecom/DCP markets, NOT a fiber operator and NOT an A&E firm. Titles like ""Di"
Great Plains Communications,Great Plains Communications,https://gpcom.com,gpcom.com,fiber_operator,high,"Great Plains Communications is a well-known regional fiber ISP headquartered in Blair, Nebraska, operating an extensive fiber network across Nebraska, Colorado, and surrounding Midwest states. Titles like ""Director of FTTH and New Market Deployment"" and ""Sr. Director Construction/Engineering"" confir"
Greenlight Community Broadband,Greenlight Community Broadband,https://greenlightnc.com,greenlightnc.com,fiber_operator,high,"Greenlight is the municipal fiber ISP operated by the City of Wilson, NC — one of the most well-known community broadband networks in the US. NC sample state and OSP Operations Supervisor title align with fiber operator role. They run their own FTTH network."
Greenlight Networks,Greenlight Networks,https://greenlightnetworks.com,greenlightnetworks.com,fiber_operator,high,"Greenlight Networks is a well-known Rochester, NY-based fiber-to-the-home ISP serving residential and business customers across upstate NY (Rochester, Buffalo, Syracuse, Albany) and recently expanded into other northeast markets. NY sample state matches headquarters. Titles (VP Operations, VP Engine"
Hi-Line Engineering,Hi-Line Engineering,https://hilineeng.com,hilineeng.com,ae_firm,high,"Hi-Line Engineering is a well-known A&E/consulting firm headquartered in Georgia that serves the telecom and utility industries with services including joint use management, OSP engineering, GIS, make-ready engineering, and pole attachment services. The attendee title ""Project Manager - Joint Use Se"
Highline,Highline,https://highlinefast.com,highlinefast.com,fiber_operator,high,"Highline is a rural fiber ISP serving Georgia, Michigan, and Colorado, delivering 1-2 Gbps fiber-to-the-home. Recently deployed mainline fiber in Upson County, GA. The GA-based CFO attending Fiber Connect 2026 aligns perfectly. Canonical brand site is highlinefast.com (highline-georgia.com is a regi"
Highline Internet,Highline,https://highlinefast.com,highlinefast.com,fiber_operator,high,"Highline (highlinefast.com) is a nationwide fiber ISP delivering 1-2 Gbps fiber-to-the-home in rural Georgia, Colorado, Michigan, Kansas, Nebraska, and Texas. Active broadband deployments in Georgia counties (Spalding, Upson) align with the GA-based SVP Network Engineering & Construction attendee. C"
HTC,HTC (Horry Telephone Cooperative),https://www.htcinc.net,htcinc.net,fiber_operator,high,"HTC is Horry Telephone Cooperative, headquartered in Conway, SC (matches sample state). It's a telecommunications cooperative providing fiber broadband, phone, video, and security services to the Myrtle Beach/Horry County region. Titles (Plant Engineering Manager, Executive Director Network Engineer"
HTC Communications,HTC Communications,https://www.hky.com,hky.com,fiber_operator,high,"HTC Communications = Hickory Telephone Company, located at 75 Main St, Hickory, PA 15340. Operating as a CLEC registered with PA PUC, member of Pennsylvania Telephone Association. Brands fiber service as ""Aurora by HickoryTel"" with website hky.com. Independent rural ILEC/CLEC offering fiber-to-the-h"
Ideatek,IdeaTek,https://ideatek.com,ideatek.com,fiber_operator,high,"IdeaTek is a well-known Kansas-based fiber ISP headquartered in Buhler, KS, providing fiber-to-the-home broadband across rural Kansas. The attendee being a Fiber Engineer based in KS confirms this is the Kansas fiber operator. Brand styling is ""IdeaTek"" (camelCase)."
IdeaTek Telcom,IdeaTek,https://ideatek.com,ideatek.com,fiber_operator,high,"IdeaTek (formerly IdeaTek Telcom) is a Kansas-based fiber ISP headquartered in Buhler/Wichita KS, known for rural fiber-to-the-home deployments across Kansas. Sample state KS confirms. Titles (Network Solutions Engineer, Director of Community Relations & Partnerships) are consistent with a fiber ope"
inRange Solutions,inRange Solutions,https://www.inrangesolutions.com,inrangesolutions.com,tower_ae,medium,"inRange Solutions (Parsippany, NJ) is a telecom program management firm focused on wireless/tower infrastructure deployment — site dev, engineering, construction management, permit expediting. Listed in NJ Wireless Association directory; founders' background is wireless tri-state deployment. Closest"
IQ Fiber,IQ Fiber,https://iqfiber.com,iqfiber.com,fiber_operator,high,"IQ Fiber is a Jacksonville, FL-based fiber-to-the-home ISP delivering 100% fiber broadband to residential and small business customers in Northeast Florida. Founded 2022, backed by Bain Capital. Name has ""Fiber"" in it, attendee is COO from FL — all consistent with fiber_operator classification."
ISG,ISG,https://www.isginc.com,isginc.com,ae_firm,high,"ISG (founded 1973, HQ Mankato MN — matches sample state) is a multidisciplinary A&E firm with 17 offices and a dedicated Telecommunications & Utilities business unit doing fiber/wireline design, joint use management, FCC rule plans, and field audits. The ""Telecommunications Practice Group Leader"" ti"
Katapult Engineering,Katapult Engineering,https://www.katapultengineering.com,katapultengineering.com,ae_firm,high,"Katapult Engineering is a well-known PA-based engineering firm specializing in utility pole attachment engineering, make-ready engineering, and fiber/telecom infrastructure design. They serve the fiber/broadband industry as an A&E firm (not as a fiber operator). Their Katapult Pro software is widely"
Lecom,LeCom,https://lecomutility.com,lecomutility.com,fiber_operator,medium,"LeCom Utility Contractors (Warren, MI) is a 40+ year fiber/telecom utility contractor specializing in aerial + underground fiber construction, HFC, FTTH, and fiber splicing for the broadband industry. Michigan HQ + VP title match the attendee record. They are NOT an ISP/CLEC selling broadband to sub"
LFT Fiber,LFT Fiber,https://www.lftfiber.com,lftfiber.com,fiber_operator,high,"LFT Fiber is the municipal fiber broadband utility in Lafayette, Louisiana, operated by Lafayette Utilities System. It rebranded from LUS Fiber. State (LA) matches Lafayette, and Executive Director title fits the public utility leadership structure. Primary business is fiber ISP services."
LHTC Broadband,LHTC Broadband,https://lhtcbroadband.com,lhtcbroadband.com,fiber_operator,high,"LHTC Broadband (formerly Laurel Highland Telephone Company, founded 1908) is a rural Pennsylvania ISP that has converted to a 100% fiber-optic network offering symmetrical gigabit service across ~200 sq mi of the Laurel Highlands region. Headquartered in Stahlstown, PA. Recently acquired Pennsylvani"
LJA Engineering,LJA Engineering,https://www.lja.com,lja.com,ae_firm,high,"LJA Engineering is a well-known Texas-headquartered (Houston) multidisciplinary civil engineering / A&E firm offering land development, transportation, water, surveying, and telecom/utility design services. They have a telecom/fiber design practice serving ISPs and municipalities, which fits Fiber C"
Long Lines Broadband,Long Lines,https://www.longlines.com,longlines.com,fiber_operator,high,"Long Lines is a well-known independent telecom/ISP headquartered in Sergeant Bluff, Iowa (matches sample state IA), providing fiber broadband, voice, and video to communities across IA, SD, and NE. They market fiber broadband to residential and business customers. ""Long Lines Broadband"" is the broad"
Luminate Broadband,Luminate Broadband,https://www.luminatebroadband.com,luminatebroadband.com,electric_coop_fiber,high,"Luminate Broadband is the fiber ISP arm of Yampa Valley Electric Association (YVEA), a Colorado electric cooperative serving the Yampa Valley (Craig, Steamboat Springs, Hayden, Clark). They operate a dedicated fiber network with symmetric 1 Gbps service. Classified as electric_coop_fiber because the"
Lyte Fiber,Lyte Fiber,https://lytefiber.com,lytefiber.com,fiber_operator,high,"Lyte Fiber is a Texas-based fiber ISP delivering residential/SMB fiber broadband (FTTH) across multiple Texas markets including Hill Country and Houston metro. ""Fiber"" in the name plus TX state plus engineering/operations titles (SVP Engineering & Technology, SVP Operations, VP Operations) consisten"
MaxxSouth Broadband,MaxxSouth Broadband,https://maxxsouth.com,maxxsouth.com,fiber_operator,high,"MaxxSouth Broadband is a well-known regional ISP headquartered in Mississippi (MS sample state matches), providing fiber/broadband internet, TV, and phone services across Mississippi, Alabama, Tennessee, Virginia, and Texas. Subsidiary of Vyve Broadband / Cable One ecosystem historically. Director o"
